k_s,sensitivity,cantera equation,cantera products,cantera reactants
822,-0.0018561770172443018,CH2Br(969) <=> BR(90) + CH2(T)(18),"{'BR(90)': 1.0, 'CH2(T)(18)': 1.0}",{'CH2Br(969)': 1.0}
908,0.0018547233789448796,CH2Br(969) + H(8) <=> CH2(T)(18) + HBR(92),"{'CH2(T)(18)': 1.0, 'HBR(92)': 1.0}","{'CH2Br(969)': 1.0, 'H(8)': 1.0}"
734,-0.0017752813664662064,BR(90) + C2H5(32) <=> C2H4(30) + HBR(92),"{'C2H4(30)': 1.0, 'HBR(92)': 1.0}","{'BR(90)': 1.0, 'C2H5(32)': 1.0}"
729,0.0017699490959808808,BR(90) + CH2O(20) <=> HBR(92) + HCO(17),"{'HBR(92)': 1.0, 'HCO(17)': 1.0}","{'BR(90)': 1.0, 'CH2O(20)': 1.0}"
119,-0.0016722196942402503,CH2OH(33) + OH(2) <=> CH2O(20) + H2O(5),"{'CH2O(20)': 1.0, 'H2O(5)': 1.0}","{'CH2OH(33)': 1.0, 'OH(2)': 1.0}"
1292,-0.0016630979041093277,C#CC(5272) + OH(2) <=> C3H3(6822) + H2O(5),"{'C3H3(6822)': 1.0, 'H2O(5)': 1.0}","{'C#CC(5272)': 1.0, 'OH(2)': 1.0}"
78,0.0016457212760840852,CH2(S)(25) + CO2(16) <=> CH2(T)(18) + CO2(16),"{'CH2(T)(18)': 1.0, 'CO2(16)': 1.0}","{'CH2(S)(25)': 1.0, 'CO2(16)': 1.0}"
393,-0.0016189578326320459,HO2(13) + O(9) <=> O2(157) + OH(2),"{'O2(157)': 1.0, 'OH(2)': 1.0}","{'HO2(13)': 1.0, 'O(9)': 1.0}"
47,-0.0015752055058430728,CH(7) + O2(4) <=> CO2(16) + H(8),"{'CO2(16)': 1.0, 'H(8)': 1.0}","{'CH(7)': 1.0, 'O2(4)': 1.0}"
629,-0.0015744631300016695,OH(2) + S(140) <=> 2-BTP(1) + H2O(5),"{'2-BTP(1)': 1.0, 'H2O(5)': 1.0}","{'OH(2)': 1.0, 'S(140)': 1.0}"
1218,-0.0015741337835447197,CF2(43) + CH2Br(969) <=> BR(90) + CH2CF2(57),"{'BR(90)': 1.0, 'CH2CF2(57)': 1.0}","{'CF2(43)': 1.0, 'CH2Br(969)': 1.0}"
58,0.0015446787866967404,CH2(T)(18) + O2(4) <=> CO2(16) + 2 H(8),"{'CO2(16)': 1.0, 'H(8)': 2.0}","{'CH2(T)(18)': 1.0, 'O2(4)': 1.0}"
1161,0.0015270145366864912,CHF2(82) + O2(4) <=> CF2O(49) + OH(2),"{'CF2O(49)': 1.0, 'OH(2)': 1.0}","{'CHF2(82)': 1.0, 'O2(4)': 1.0}"
512,0.0015268622432695125,CF3(45) + CH4(3) <=> CH3(19) + CHF3(42),"{'CH3(19)': 1.0, 'CHF3(42)': 1.0}","{'CF3(45)': 1.0, 'CH4(3)': 1.0}"
152,0.0015172048719644228,C2H(22) + H2(10) <=> C2H2(23) + H(8),"{'C2H2(23)': 1.0, 'H(8)': 1.0}","{'C2H(22)': 1.0, 'H2(10)': 1.0}"
48,-0.0014999156376288452,CH(7) + O2(4) <=> CO(15) + OH(2),"{'CO(15)': 1.0, 'OH(2)': 1.0}","{'CH(7)': 1.0, 'O2(4)': 1.0}"
1,0.0014827315261707415,H2(10) + O(9) <=> H(8) + OH(2),"{'H(8)': 1.0, 'OH(2)': 1.0}","{'H2(10)': 1.0, 'O(9)': 1.0}"
683,-0.001476370748537933,HBR(92) + OH(2) <=> BR(90) + H2O(5),"{'BR(90)': 1.0, 'H2O(5)': 1.0}","{'HBR(92)': 1.0, 'OH(2)': 1.0}"
135,0.0014640810678596997,CH3OH(26) + OH(2) <=> CH3O(27) + H2O(5),"{'CH3O(27)': 1.0, 'H2O(5)': 1.0}","{'CH3OH(26)': 1.0, 'OH(2)': 1.0}"
360,0.0014200724686430843,CH2O(20) <=> CO(15) + H2(10),"{'CO(15)': 1.0, 'H2(10)': 1.0}",{'CH2O(20)': 1.0}
1291,-0.0013987702779409237,C3H3(6822) + H2(10) <=> C#CC(5272) + H(8),"{'C#CC(5272)': 1.0, 'H(8)': 1.0}","{'C3H3(6822)': 1.0, 'H2(10)': 1.0}"
414,-0.0013573204383045834,CH3(19) + HBR(92) <=> BR(90) + CH4(3),"{'BR(90)': 1.0, 'CH4(3)': 1.0}","{'CH3(19)': 1.0, 'HBR(92)': 1.0}"
514,-0.001329699073318929,CHF3(42) <=> CF3(45) + H(8),"{'CF3(45)': 1.0, 'H(8)': 1.0}",{'CHF3(42)': 1.0}
37,-0.0013145177598248908,HCO(17) + O2(4) <=> CO(15) + HO2(13),"{'CO(15)': 1.0, 'HO2(13)': 1.0}","{'HCO(17)': 1.0, 'O2(4)': 1.0}"
57,0.0012614421982493904,CH2(T)(18) + O2(4) <=> CO(15) + H(8) + OH(2),"{'CO(15)': 1.0, 'H(8)': 1.0, 'OH(2)': 1.0}","{'CH2(T)(18)': 1.0, 'O2(4)': 1.0}"
61,-0.0012492591804162635,CH2(T)(18) + O2(4) <=> CO(15) + H2O(5),"{'CO(15)': 1.0, 'H2O(5)': 1.0}","{'CH2(T)(18)': 1.0, 'O2(4)': 1.0}"
184,-0.0012443373911754099,C2H3(29) + OH(2) <=> C2H2(23) + H2O(5),"{'C2H2(23)': 1.0, 'H2O(5)': 1.0}","{'C2H3(29)': 1.0, 'OH(2)': 1.0}"
645,0.0012260529713847164,CHF3(42) + M <=> CF2(43) + HF(38) + M,"{'CF2(43)': 1.0, 'HF(38)': 1.0}",{'CHF3(42)': 1.0}
508,-0.001174049955830877,CF3CCH(84) + H(8) <=> S(127),{'S(127)': 1.0},"{'CF3CCH(84)': 1.0, 'H(8)': 1.0}"
885,-0.001144413969914163,CH2OH(33) + HBR(92) <=> BR(90) + CH3OH(26),"{'BR(90)': 1.0, 'CH3OH(26)': 1.0}","{'CH2OH(33)': 1.0, 'HBR(92)': 1.0}"
911,0.0011434923353834117,CH2Br(969) + H(8) <=> CH2(S)(25) + HBR(92),"{'CH2(S)(25)': 1.0, 'HBR(92)': 1.0}","{'CH2Br(969)': 1.0, 'H(8)': 1.0}"
154,-0.0011264208182270416,H(8) + HCCO(21) <=> CH2(S)(25) + CO(15),"{'CH2(S)(25)': 1.0, 'CO(15)': 1.0}","{'H(8)': 1.0, 'HCCO(21)': 1.0}"
77,0.0011191905927202173,CH2(S)(25) + CO(15) <=> CH2(T)(18) + CO(15),"{'CH2(T)(18)': 1.0, 'CO(15)': 1.0}","{'CH2(S)(25)': 1.0, 'CO(15)': 1.0}"
121,-0.0011163211359772986,CH2OH(33) + CH3(19) <=> CH2O(20) + CH4(3),"{'CH2O(20)': 1.0, 'CH4(3)': 1.0}","{'CH2OH(33)': 1.0, 'CH3(19)': 1.0}"
118,-0.001105102947378704,CH2OH(33) + O(9) <=> CH2O(20) + OH(2),"{'CH2O(20)': 1.0, 'OH(2)': 1.0}","{'CH2OH(33)': 1.0, 'O(9)': 1.0}"
365,-0.0011025957454111888,CH3OH(26) <=> CH2(S)(25) + H2O(5),"{'CH2(S)(25)': 1.0, 'H2O(5)': 1.0}",{'CH3OH(26)': 1.0}
628,-0.0011008567092296645,O(9) + S(140) <=> 2-BTP(1) + OH(2),"{'2-BTP(1)': 1.0, 'OH(2)': 1.0}","{'O(9)': 1.0, 'S(140)': 1.0}"
190,-0.0010810102412633865,C2H3(29) + CH3(19) <=> C2H2(23) + CH4(3),"{'C2H2(23)': 1.0, 'CH4(3)': 1.0}","{'C2H3(29)': 1.0, 'CH3(19)': 1.0}"
130,-0.0010809259766171916,CH3OH(26) + H(8) <=> CH2OH(33) + H2(10),"{'CH2OH(33)': 1.0, 'H2(10)': 1.0}","{'CH3OH(26)': 1.0, 'H(8)': 1.0}"
789,-0.0010686461947087495,CH2Br(969) + H(8) <=> CBr(425),{'CBr(425)': 1.0},"{'CH2Br(969)': 1.0, 'H(8)': 1.0}"
351,-0.0010623685426629128,C2H5(32) + OH(2) <=> C2H4(30) + H2O(5),"{'C2H4(30)': 1.0, 'H2O(5)': 1.0}","{'C2H5(32)': 1.0, 'OH(2)': 1.0}"
108,0.0010399655844719323,CH3O(27) + H(8) <=> CH3(19) + OH(2),"{'CH3(19)': 1.0, 'OH(2)': 1.0}","{'CH3O(27)': 1.0, 'H(8)': 1.0}"
